county_fips_code,county_name,state_name,state_abbreviation
1001,Autauga County,Alabama,AL
1003,Baldwin County,Alabama,AL
1005,Barbour County,Alabama,AL
1007,Bibb County,Alabama,AL
1009,Blount County,Alabama,AL
...,,,
56043,Washakie County,Wyoming,WY
56045,Weston County,Wyoming,WY
